60200001;Schrankenberggasse;48.1738010728644;16.3898072745249
60200002;Achengasse;48.2845258075837;16.4488984539143
60200003;Ada-Christen-Gasse;48.1528655583657;16.385953501956
60200004;Adam-Betz-Gasse;48.21561055503;16.5351906201068
60200005;Adamovichgasse;48.1421668131238;16.3378397353386
60200006;Adolf-Loos-Gasse;48.2775553604276;16.4542254635491
60200007;Adolf-Unger-Gasse;48.1486762313686;16.3858816367333
60200008;Afritschgasse;48.246960234718;16.4517371302121
60200009;Agavenweg;48.2510697532962;16.5071991158536
60200010;Neustift, Agnesgasse;48.2504297189845;16.3075934597223
60200011;Aignerstraße;48.2462842560768;16.3749491397255
60200012;Auf der Schmelz;48.2035239231532;16.3166484777862
60200013;Morzinplatz;48.2131144413282;16.3744909989306
60200014;Alaudagasse;48.1538903631184;16.3823243082082
60200015;Albern;48.1600507462881;16.4849298799603
60200016;Alberner Hafen;48.1584927426059;16.4946316850288
60200017;Alberner Hafenzufahrtsstr.;48.1720937164414;16.4724792301224
60200018;Alberner Straße;48.1561796191031;16.4845615706938
60200019;Albertgasse;48.2106062332956;16.344038110799
60200020;Albertinaplatz;48.2049608192786;16.3685351685969
60200021;Carminweg;48.2531812115548;16.4210596632594
60200022;Algenweg;48.2487966979524;16.5314805779834
60200023;Allerheiligengasse;48.2380820689074;16.3871662275896
60200024;Allissen;48.2863489665822;16.4301685802404
60200025;Alois-Behr-Straße;48.2056074093841;16.2410552466275
60200026;Alsegger Straße;48.2316857237553;16.3243650060768
60200027;Alser Straße;48.217142881097;16.341998935104
60200028;Aichholzgasse;48.1803244479977;16.3243470397711
60200029;Nußdorfer Str./Alserbachstr.;48.224648222042;16.3543148376493
60200030;Altdorferstraße;48.1686968067122;16.3493741035867
60200031;Alte Donau;48.2379564234283;16.4242307162123
60200032;Aichholzgasse/Ratschkygasse;48.1775989881695;16.3236104212381
60200033;Altes Landgut;48.1621060403008;16.3833843202434
60200034;Althanstraße;48.2288373277351;16.3595520157557
60200035;Breitenfurter St/Altmannsd Str;48.1655992519806;16.3166125451748
60200036;Pfeiffenbergergasse;48.1946621729789;16.2610068290878
60200037;Am Fasangarten;48.1712549942186;16.3045930866733
60200038;Zanggasse;48.2388000371538;16.4844447897069
60200039;Am Heidjöchl;48.2368076504547;16.4887207704593
60200040;Am Himmelreich;48.1639095978204;16.4381725694219
60200041;Am Hundsturm;48.1876794712985;16.3481703611059
60200042;Am Kanal;48.1700208494332;16.4101002167931
60200043;Am Kanal/Hasenleitengasse;48.1636759178639;16.4184275994769
60200044;Am Modenapark;48.1990992273478;16.3826207522519
60200045;Am Platz;48.1860564258032;16.3014849157902
60200046;Am Rosenhügel;48.1618783441456;16.2908937785905
60200047;Reichsbrücke;48.2283346531558;16.4097408906795
60200048;Am Schöpfwerk;48.1612312021862;16.3246075512035
60200049;Am Spiegeln;48.1522782341351;16.2821980866402
60200050;Am Spitz;48.258205294225;16.39738007237
60200051;Am Tabor;48.2251030558241;16.3834741517718
60200052;Fünfhausgasse;48.189086867664;16.33544123353
60200053;Gesundheitszentrum Süd;48.1699070190491;16.3451340554456
60200054;Ameisbachzeile;48.2011349941318;16.2922592178223
60200055;Ameisgasse;48.1938537613685;16.299517605318
60200056;Neubaugasse;48.1982908857453;16.350200553648
60200057;Ammerweg;48.2185135557888;16.260431907306
60200058;Amongasse;48.2301837531759;16.4694519076149
60200059;An den Steinfeldern;48.137311184666;16.2981162334748
60200060;An den alten Schanzen;48.2263837502866;16.4898436645644
60200061;An den langen Lüssen;48.2526548505155;16.3419091035756
60200062;An der Bien;48.2071340480777;16.4794950724914
60200063;An der Niederhaid;48.2041346089318;16.2697384536495
60200064;Upsalagasse;48.1500966852806;16.3800515705393
60200065;Liebhartstal;48.2157482268251;16.2919088748615
60200066;Angermayergasse;48.1843914032162;16.2649234837266
60200067;Anschützgasse;48.1903744517599;16.323053465762
60200068;Anton-Bosch-Gasse;48.2694419013947;16.3875165705504
60200069;Anton-Böck-Gasse;48.2964020710988;16.3897803250664
60200070;Anton-Krieger-Gasse;48.1428201897953;16.270385240654
60200071;Doningasse;48.2516200567669;16.4410561614839
60200072;Anton-Störck-Gasse;48.2648674233156;16.3860882492486
60200073;Antonigasse;48.2259528660072;16.32978184724
60200074;Anzengruberstraße;48.2139584646136;16.2239513236179
60200075;Apostelgasse;48.2004883475678;16.3981346572087
60200076;Liesing Aquädukt;48.1337201220539;16.2720201744711
60200077;Arbeitergasse/Gürtel;48.1840559964376;16.345960505507
60200078;Arbeiterinnenstrandbad;48.2432571978933;16.4140168714319
60200079;Argentinierstraße;48.1885478693672;16.3767367871409
60200080;Armbrustergasse;48.2538570990344;16.3548897594311
60200081;Arminenstraße;48.2362811208879;16.4375886644872
60200082;Arndtstraße;48.1836487138274;16.3369504032073
60200083;Breitenleer Str./Arnikaweg;48.2514764999107;16.4801059268846
60200084;Arsenal;48.1838044399134;16.3846239953355
60200085;Artariastraße;48.242443570681;16.2813446871203
60200086;Arthaberplatz;48.1724951000803;16.3721643623448
60200087;Artillerieplatz;48.1639455484884;16.4727217752491
60200088;Aspernallee;48.1970454159416;16.4451434960266
60200089;Asperner Heldenplatz;48.2168316310763;16.4831781651563
60200090;Frederick-Loewe-Weg;48.2380461702306;16.4816330628676
60200092;Atzgersdorf Friedhof;48.14302998788;16.2979455535708
60200093;Atzgersdorf Kirchenplatz;48.1476153603959;16.2942714440588
60200094;Atzgersdorf;48.1472617318652;16.2887468050614
60200095;An der Liesing;48.138947762604;16.2640970336652
